received,sent,protocol
10:38:29,10:38:27,HTTP
10:38:40,10:38:39,HTTP
10:38:51,10:38:50,HTTP
10:39:01,10:39:00,HTTP
10:39:12,10:39:11,HTTP
10:39:22,10:39:21,HTTP
10:39:33,10:39:32,HTTP
10:39:44,10:39:42,HTTP
10:39:54,10:39:53,HTTP
10:40:05,10:40:04,HTTP
10:40:15,10:40:14,HTTP
10:40:26,10:40:25,HTTP
10:40:36,10:40:35,HTTP
10:40:47,10:40:46,HTTP
10:40:58,10:40:57,HTTP
10:41:08,10:41:07,HTTP
10:41:19,10:41:18,HTTP
10:41:30,10:41:29,HTTP
10:41:40,10:41:39,HTTP
10:41:51,10:41:50,HTTP
10:42:01,10:42:00,HTTP
10:42:12,10:42:11,HTTP
10:42:22,10:42:21,HTTP
10:42:33,10:42:32,HTTP
10:42:44,10:42:42,HTTP
10:42:54,10:42:53,HTTP
10:43:05,10:43:04,HTTP
10:43:15,10:43:14,HTTP
10:43:26,10:43:25,HTTP
10:43:36,10:43:35,HTTP
10:43:47,10:43:46,HTTP
10:43:57,10:43:56,HTTP
10:44:08,10:44:07,HTTP
10:44:18,10:44:17,HTTP
10:44:28,10:44:27,HTTP
10:44:39,10:44:38,HTTP
10:44:49,10:44:48,HTTP
10:45:00,10:44:59,HTTP
10:45:10,10:45:09,HTTP
10:45:21,10:45:20,HTTP
10:45:32,10:45:30,HTTP
10:45:42,10:45:41,HTTP
10:45:53,10:45:52,HTTP
10:46:03,10:46:02,HTTP
10:46:14,10:46:13,HTTP
10:46:24,10:46:23,HTTP
10:46:35,10:46:34,HTTP
10:46:45,10:46:44,HTTP
10:46:56,10:46:55,HTTP
10:47:06,10:47:05,HTTP
10:47:17,10:47:16,HTTP
10:47:27,10:47:26,HTTP
10:47:38,10:47:37,HTTP
10:47:48,10:47:47,HTTP
10:47:59,10:47:58,HTTP
10:48:09,10:48:08,HTTP
10:48:20,10:48:19,HTTP
10:48:30,10:48:29,HTTP
10:48:41,10:48:40,HTTP
10:48:51,10:48:50,HTTP
10:49:02,10:49:01,HTTP
10:49:13,10:49:12,HTTP
10:49:24,10:49:23,HTTP
10:49:34,10:49:33,HTTP
10:49:45,10:49:44,HTTP
10:49:55,10:49:54,HTTP
10:50:06,10:50:05,HTTP
10:50:16,10:50:15,HTTP
10:50:27,10:50:26,HTTP
10:50:37,10:50:36,HTTP
10:50:48,10:50:47,HTTP
10:50:59,10:50:58,HTTP
10:51:09,10:51:08,HTTP
10:51:20,10:51:19,HTTP
10:51:30,10:51:29,HTTP
